name,address,region,type,lat,lon,org,phone
중구 공영주차장,서울특별시 중구 세종대로 110,서울,노외,37.5665,126.9780,서울특별시,02-000-0000
부산역 공영주차장,부산광역시 동구 중앙대로 206,부산,노외,35.1151,129.0414,부산광역시,051-000-0000
대전 시청 공영주차장,대전광역시 서구 둔산로 100,대전,부설,36.3504,127.3845,대전광역시,042-000-0000
인천 공항철도 공영주차장,인천광역시 중구 공항로 271,인천,노외,37.4602,126.4407,인천광역시,032-000-0000
광주 터미널 공영주차장,광주광역시 서구 무진대로 904,광주,노외,35.1601,126.8819,광주광역시,062-000-0000
대구 동성로 공영주차장,대구광역시 중구 동성로 2,대구,노외,35.8686,128.5940,대구광역시,053-000-0000
울산 태화강 공영주차장,울산광역시 중구 태화로 100,울산,노외,35.5466,129.3157,울산광역시,052-000-0000
수원 화성 공영주차장,경기도 수원시 팔달구 정조로 825,경기,노외,37.2850,127.0196,수원시,031-000-0000
춘천 명동 공영주차장,강원특별자치도 춘천시 중앙로 1,강원,노외,37.8813,127.7298,춘천시,033-000-0000
제주 시청 공영주차장,제주특별자치도 제주시 광양9길 10,제주,부설,33.4996,126.5312,제주특별자치도,064-000-0000
